city,aqi
五家渠,80
临夏州,109
甘南州,83
西宁,60
海东地区,81
海北州,96
黄南州,75
海南州,103
果洛州,71
玉树州,107
海西州,67
银川,113
石嘴山,112
吴忠,90
固原,68
中卫,52
乌鲁木齐,165
克拉玛依,54
吐鲁番地区,220
哈密地区,118
昌吉州,134
博州,99
库尔勒,133
阿克苏地区,85
克州,98
喀什地区,135
和田地区,303
伊犁哈萨克州,156
塔城地区,51
石河子,130
拉萨,54
昌都地区,57
山南地区,51
日喀则地区,54
西安,85
铜川,93
宝鸡,69
咸阳,77
渭南,77
延安,103
汉中,204
榆林,55
安康,212
商洛,97
兰州,52
嘉峪关,64
金昌,79
白银,69
天水,119
武威,119
张掖,104
平凉,75
酒泉,82
庆阳,89
陇南,94
雅安,89
巴中,124
资阳,200
贵阳,78
六盘水,128
遵义,80
安顺,88
铜仁地区,69
黔西南州,73
黔东南州,60
保山,67
昭通,58
思茅,61
临沧,70
楚雄州,53
红河州,58
文山州,89
西双版纳州,88
德宏州,73
桂林,218
梧州,140
钦州,60
贵港,142
玉林,185
百色,117
贺州,124
河池,112
来宾,108
崇左,127
重庆,175
成都,163
自贡,201
攀枝花,66
泸州,198
德阳,172
绵阳,139
广元,64
遂宁,179
内江,217
乐山,172
南充,185
眉山,165
宜宾,160
广安,129
达州,208
张家界,202
益阳,214
郴州,123
永州,198
怀化,162
娄底,160
湘西州,210
广州,99
韶关,182
深圳,55
珠海,65
汕头,142
佛山,89
江门,90
肇庆,133
惠州,66
梅州,94
汕尾,64
河源,74
阳江,62
清远,137
东莞,92
中山,54
潮州,155
揭阳,134
云浮,68
南宁,56
柳州,150
焦作,442
濮阳,320
许昌,305
漯河,256
三门峡,159
南阳,237
商丘,288
信阳,272
周口,364
驻马店,278
武汉,211
黄石,169
十堰,182
宜昌,370
襄樊,262
鄂州,165
荆门,239
孝感,212
荆州,223
黄冈,140
咸宁,148
随州,255
恩施州,223
长沙,198
株洲,200
湘潭,169
衡阳,176
邵阳,149
岳阳,114
常德,163
莱西,234
淄博,296
枣庄,319
东营,252
烟台,211
莱州,220
蓬莱,175
招远,189
潍坊,241
寿光,272
济宁,227
泰安,247
威海,183
文登,207
荣成,182
乳山,292
日照,226
莱芜,284
临沂,291
德州,346
聊城,334
滨州,293
菏泽,388
郑州,388
开封,427
洛阳,172
平顶山,256
安阳,448
鹤壁,346
新乡,346
亳州,188
池州,132
宣城,103
福州,111
厦门,118
莆田,147
三明,125
泉州,106
漳州,135
南平,114
龙岩,82
宁德,98
南昌,113
景德镇,114
萍乡,213
九江,153
新余,122
鹰潭,142
赣州,110
吉安,68
宜春,132
抚州,79
上饶,107
济南,311
章丘,225
青岛,201
胶州,200
即墨,198
平度,178
胶南,212
泰州,257
宿迁,225
杭州,162
富阳,164
临安,137
宁波,79
温州,132
嘉兴,143
湖州,227
诸暨,163
金华,220
义乌,186
衢州,124
舟山,59
台州,103
丽水,135
绍兴,133
合肥,207
芜湖,155
蚌埠,210
淮南,108
马鞍山,202
淮北,169
铜陵,183
安庆,132
黄山,104
滁州,217
阜阳,149
宿州,180
六安,149
伊春,129
佳木斯,199
七台河,222
牡丹江,142
黑河,84
绥化,92
大兴安岭地区,56
上海,105
南京,219
无锡,190
江阴,207
宜兴,180
徐州,306
常州,236
溧阳,195
金坛,172
苏州,172
常熟,156
张家港,195
昆山,117
吴江,156
太仓,134
南通,183
海门,147
连云港,219
淮安,272
盐城,230
扬州,211
镇江,223
句容,275
沈阳,99
大连,158
瓦房店,127
鞍山,92
抚顺,106
本溪,79
丹东,137
锦州,91
营口,67
阜新,92
辽阳,82
盘锦,113
铁岭,88
朝阳,73
葫芦岛,111
长春,97
吉林,79
四平,78
辽源,87
通化,148
白山,195
松原,68
白城,77
延边州,182
哈尔滨,122
齐齐哈尔,108
鸡西,137
鹤岗,226
双鸭山,160
大庆,113
邢台,462
保定,291
承德,98
沧州,227
廊坊,114
衡水,479
张家口,94
太原,127
大同,88
阳泉,128
长治,163
晋城,185
朔州,96
晋中,123
运城,175
忻州,227
临汾,94
吕梁,130
呼和浩特,70
包头,74
乌海,93
赤峰,77
通辽,107
鄂尔多斯,69
呼伦贝尔,52
巴彦淖尔,96
乌兰察布,61
兴安盟,64
锡林郭勒盟,71
阿拉善盟,51
北京,122
天津,139
石家庄,333
唐山,143
秦皇岛,125
邯郸,377
